timestamp_seconds,frame_idx,face_id,x,y,w,h
79.266667,2378,1,304,101,108,108
79.300000,2379,1,304,102,109,109
79.333333,2380,1,305,105,105,105
79.366667,2381,1,307,107,104,104
79.400000,2382,1,308,109,102,102
79.433333,2383,1,309,108,102,102
79.466667,2384,1,309,106,103,103
79.500000,2385,1,310,106,101,101
79.533333,2386,1,310,107,100,100
79.566667,2387,1,311,108,99,99
79.600000,2388,1,312,108,98,98
79.633333,2389,1,313,108,98,98
79.666667,2390,1,313,107,98,98
79.700000,2391,1,314,107,98,98
79.733333,2392,1,313,107,99,99
79.766667,2393,1,312,107,99,99
79.800000,2394,1,312,105,100,100
79.833333,2395,1,312,102,103,103
79.866667,2396,1,312,102,104,104
79.900000,2397,1,312,102,104,104
79.933333,2398,1,312,102,103,103
79.966667,2399,1,312,102,104,104
80.000000,2400,1,312,103,104,104
80.033333,2401,1,311,103,105,105
80.066667,2402,1,309,100,108,108
80.100000,2403,1,308,101,110,110
80.133333,2404,1,308,101,110,110
80.166667,2405,1,307,103,109,109
80.200000,2406,1,307,102,110,110
80.233333,2407,1,307,101,110,110
80.266667,2408,1,306,99,111,111
80.300000,2409,1,306,99,111,111
80.333333,2410,1,306,98,111,111
80.366667,2411,1,306,99,110,110
80.400000,2412,1,305,98,111,111
80.433333,2413,1,305,99,112,112
80.466667,2414,1,304,99,111,111
80.500000,2415,1,303,99,110,110
80.533333,2416,1,302,98,110,110
80.566667,2417,1,302,98,110,110
80.600000,2418,1,302,98,111,111
80.633333,2419,1,303,96,110,110
80.666667,2420,1,300,95,111,111
80.700000,2421,1,301,95,109,109
80.733333,2422,1,300,96,107,107
80.766667,2423,1,298,95,109,109
80.800000,2424,1,296,95,111,111
80.833333,2425,1,297,94,109,109
80.866667,2426,1,296,94,111,111
80.900000,2427,1,296,94,107,107
80.933333,2428,1,298,95,106,106
80.966667,2429,1,294,92,110,110
81.000000,2430,1,291,91,113,113
81.033333,2431,1,292,92,112,112
81.066667,2432,1,291,91,114,114
81.100000,2433,1,292,92,113,113
81.133333,2434,1,292,92,113,113
81.166667,2435,1,291,91,114,114
81.200000,2436,1,293,92,111,111
81.233333,2437,1,292,93,110,110
81.266667,2438,1,293,93,112,112
81.300000,2439,1,295,97,110,110
81.333333,2440,1,294,96,111,111
81.366667,2441,1,294,96,111,111
81.400000,2442,1,294,96,111,111
81.433333,2443,1,294,96,110,110
81.466667,2444,1,294,96,110,110
81.500000,2445,1,294,96,110,110
81.533333,2446,1,294,96,110,110
81.566667,2447,1,294,96,110,110
81.600000,2448,1,294,96,109,109
81.633333,2449,1,294,96,110,110
81.666667,2450,1,294,96,110,110
81.700000,2451,1,294,96,111,111
81.733333,2452,1,294,95,111,111
81.766667,2453,1,293,95,112,112
81.800000,2454,1,293,94,112,112
81.833333,2455,1,293,94,112,112
81.866667,2456,1,292,93,113,113
81.900000,2457,1,293,94,113,113
81.933333,2458,1,294,95,111,111
81.966667,2459,1,293,94,111,111
82.000000,2460,1,292,93,113,113
82.033333,2461,1,292,93,112,112
82.066667,2462,1,293,94,110,110
82.100000,2463,1,294,95,109,109
82.133333,2464,1,293,96,110,110
82.166667,2465,1,294,96,110,110
82.200000,2466,1,293,96,110,110
82.233333,2467,1,294,96,109,109
82.266667,2468,1,294,95,109,109
82.300000,2469,1,294,95,110,110
82.333333,2470,1,295,97,108,108
82.366667,2471,1,296,98,109,109
82.400000,2472,1,296,98,110,110
82.433333,2473,1,297,100,107,107
82.466667,2474,1,294,100,109,109
82.500000,2475,1,296,100,109,109
82.533333,2476,1,297,99,108,108
82.566667,2477,1,298,99,108,108
82.600000,2478,1,298,99,108,108
82.633333,2479,1,297,98,109,109
82.666667,2480,1,297,97,109,109
82.700000,2481,1,296,97,110,110
82.733333,2482,1,297,97,110,110
82.766667,2483,1,295,94,114,114
82.800000,2484,1,295,94,114,114
82.833333,2485,1,295,95,113,113
82.866667,2486,1,294,94,115,115
82.900000,2487,1,294,94,115,115
82.933333,2488,1,294,94,116,116
82.966667,2489,1,294,93,117,117
83.000000,2490,1,293,94,118,118
83.033333,2491,1,294,95,117,117
83.066667,2492,1,293,93,120,120
83.100000,2493,1,293,93,119,119
83.133333,2494,1,294,96,115,115
83.166667,2495,1,295,96,114,114
