timestamp_seconds,frame_idx,face_id,x,y,w,h,emotion,emotion_score
71.233333,337,1,305,96,113,113,neutral,0.9742
71.266667,338,1,305,96,112,112,neutral,0.9752
71.300000,339,1,304,96,113,113,neutral,0.9699
71.333333,340,1,306,98,111,111,neutral,0.9755
71.366667,341,1,305,97,112,112,neutral,0.9781
71.400000,342,1,306,98,110,110,neutral,0.9762
71.433333,343,1,306,98,110,110,neutral,0.9772
71.466667,344,1,306,98,111,111,neutral,0.9747
71.500000,345,1,305,96,113,113,neutral,0.9754
71.533333,346,1,305,96,114,114,neutral,0.9722
71.566667,347,1,307,97,113,113,neutral,0.9645
71.600000,348,1,309,98,112,112,neutral,0.9807
71.633333,349,1,311,99,109,109,neutral,0.9865
71.666667,350,1,313,101,107,107,neutral,0.9905
71.700000,351,1,315,103,106,106,neutral,0.9884
71.733333,352,1,316,104,104,104,neutral,0.9856
71.766667,353,1,317,104,104,104,neutral,0.9716
71.800000,354,1,317,106,103,103,neutral,0.9307
71.833333,355,1,317,106,104,104,neutral,0.9085
71.866667,356,1,316,108,105,105,neutral,0.8170
71.900000,357,1,317,107,104,104,neutral,0.9089
71.933333,358,1,319,108,103,103,neutral,0.8846
71.966667,359,1,322,110,100,100,neutral,0.8845
72.000000,360,1,321,111,102,102,neutral,0.8718
72.033333,361,1,322,112,100,100,neutral,0.8791
72.066667,362,1,321,111,102,102,neutral,0.9211
72.100000,363,1,322,113,100,100,neutral,0.8983
72.133333,364,1,322,114,101,101,neutral,0.9056
72.166667,365,1,323,113,101,101,neutral,0.9189
72.200000,366,1,322,114,101,101,neutral,0.9324
72.233333,367,1,321,111,105,105,neutral,0.9000
72.266667,368,1,320,112,106,106,neutral,0.8877
72.300000,369,1,320,112,105,105,neutral,0.8955
72.333333,370,1,320,113,104,104,neutral,0.9380
72.366667,371,1,321,112,104,104,neutral,0.9356
72.400000,372,1,322,112,101,101,neutral,0.9526
72.433333,373,1,324,113,99,99,neutral,0.9583
72.466667,374,1,322,112,100,100,neutral,0.9408
72.500000,375,1,324,112,100,100,neutral,0.9719
72.533333,376,1,323,111,100,100,neutral,0.9756
72.566667,377,1,322,109,101,101,neutral,0.9771
72.600000,378,1,319,107,103,103,neutral,0.9818
72.633333,379,1,317,104,106,106,neutral,0.9800
72.666667,380,1,318,103,106,106,neutral,0.9644
72.700000,381,1,315,103,107,107,neutral,0.9797
72.733333,382,1,315,101,109,109,neutral,0.9739
72.766667,383,1,312,98,110,110,neutral,0.9809
72.800000,384,1,308,97,112,112,neutral,0.9656
72.833333,385,1,306,97,113,113,neutral,0.9614
72.866667,386,1,306,97,112,112,neutral,0.9602
72.900000,387,1,306,97,111,111,neutral,0.9674
72.933333,388,1,305,98,111,111,neutral,0.9513
72.966667,389,1,304,98,111,111,neutral,0.9334
73.000000,390,1,305,99,111,111,neutral,0.9714
73.033333,391,1,305,99,111,111,neutral,0.9764
73.066667,392,1,305,100,110,110,neutral,0.9789
73.100000,393,1,306,100,109,109,neutral,0.9772
73.133333,394,1,306,100,109,109,neutral,0.9786
73.166667,395,1,306,100,110,110,neutral,0.9825
73.200000,396,1,305,100,111,111,neutral,0.9836
73.233333,397,1,305,99,112,112,neutral,0.9773
73.266667,398,1,306,100,111,111,neutral,0.9874
73.300000,399,1,307,100,110,110,neutral,0.9851
73.333333,400,1,307,100,110,110,neutral,0.9762
73.366667,401,1,307,99,112,112,neutral,0.9698
73.400000,402,1,306,99,112,112,neutral,0.9597
73.433333,403,1,307,101,110,110,neutral,0.9726
73.466667,404,1,307,102,108,108,neutral,0.9723
73.500000,405,1,307,102,109,109,neutral,0.9648
73.533333,406,1,306,102,108,108,neutral,0.9590
73.566667,407,1,307,103,109,109,neutral,0.9619
73.600000,408,1,306,102,110,110,neutral,0.9475
73.633333,409,1,306,101,109,109,neutral,0.9587
73.666667,410,1,307,101,109,109,neutral,0.9544
73.700000,411,1,308,101,108,108,neutral,0.9622
73.733333,412,1,308,101,108,108,neutral,0.9605
73.766667,413,1,307,100,109,109,neutral,0.9496
73.800000,414,1,307,100,110,110,neutral,0.9416
73.833333,415,1,307,101,109,109,neutral,0.9612
73.866667,416,1,307,101,109,109,neutral,0.9621
73.900000,417,1,306,100,110,110,neutral,0.9592
73.933333,418,1,307,102,109,109,neutral,0.9639
73.966667,419,1,306,103,110,110,neutral,0.9400
74.000000,420,1,307,105,109,109,neutral,0.9368
74.033333,421,1,307,108,107,107,neutral,0.9362
74.066667,422,1,308,108,106,106,neutral,0.9510
74.100000,423,1,311,110,105,105,neutral,0.9419
74.133333,424,1,309,111,105,105,neutral,0.9304
74.166667,425,1,309,112,106,106,neutral,0.9416
74.200000,426,1,310,111,109,109,neutral,0.9268
74.233333,427,1,310,114,109,109,neutral,0.9385
74.266667,428,1,310,114,110,110,neutral,0.9393
74.300000,429,1,309,114,109,109,neutral,0.9408
74.333333,430,1,309,113,111,111,neutral,0.9273
74.366667,431,1,308,112,112,112,neutral,0.9190
74.400000,432,1,308,112,112,112,neutral,0.9229
74.433333,433,1,307,111,112,112,neutral,0.9351
74.466667,434,1,307,112,111,111,neutral,0.9449
74.500000,435,1,307,112,111,111,neutral,0.9440
74.533333,436,1,306,111,111,111,neutral,0.9553
74.566667,437,1,306,109,111,111,neutral,0.9582
74.600000,438,1,303,107,112,112,neutral,0.9615
74.633333,439,1,306,110,110,110,neutral,0.9683
74.666667,440,1,306,110,107,107,neutral,0.9774
74.700000,441,1,307,111,106,106,neutral,0.9739
74.733333,442,1,306,110,107,107,neutral,0.9727
74.766667,443,1,306,109,108,108,neutral,0.9660
74.800000,444,1,308,107,109,109,neutral,0.9727
74.833333,445,1,308,107,109,109,neutral,0.9727
74.866667,446,1,305,104,111,111,neutral,0.9642
74.900000,447,1,306,103,110,110,neutral,0.9689
74.933333,448,1,308,104,107,107,neutral,0.9781
74.966667,449,1,307,104,108,108,neutral,0.9784
75.000000,450,1,307,102,109,109,neutral,0.9863
75.033333,451,1,306,100,111,111,neutral,0.9872
