timestamp_seconds,frame_idx,face_id,x,y,w,h,yaw,pitch,eye_away,looking_at_camera
71.366667,341,1,305,97,112,112,-3.0,5.6,0.386,0
71.400000,342,1,306,98,110,110,-2.7,5.3,0.391,0
71.433333,343,1,306,98,110,110,-2.7,5.0,0.393,0
71.466667,344,1,306,98,111,111,-2.7,4.9,0.377,0
71.500000,345,1,305,96,113,113,-3.1,4.8,0.437,0
71.533333,346,1,305,96,114,114,-3.2,4.8,0.412,0
71.566667,347,1,307,97,113,113,-2.9,4.8,0.380,0
71.600000,348,1,309,98,112,112,-2.9,4.6,0.393,0
71.633333,349,1,311,99,109,109,-3.0,4.4,0.383,0
71.666667,350,1,313,101,107,107,-2.6,5.0,0.360,0
71.700000,351,1,315,103,106,106,-2.0,5.8,0.361,0
71.733333,352,1,316,104,104,104,-1.6,5.7,0.375,0
71.766667,353,1,317,104,104,104,-0.9,5.6,0.613,0
71.800000,354,1,317,106,103,103,-0.9,6.2,0.775,0
71.833333,355,1,317,106,104,104,-0.5,6.5,0.843,0
71.866667,356,1,316,108,105,105,0.2,7.3,0.831,0
71.900000,357,1,317,107,104,104,1.2,7.3,0.860,0
71.933333,358,1,319,108,103,103,1.9,7.7,0.828,0
71.966667,359,1,322,110,100,100,2.8,8.1,0.736,0
72.000000,360,1,321,111,102,102,4.6,8.1,0.541,0
72.033333,361,1,322,112,100,100,6.1,7.0,0.282,1
72.066667,362,1,321,111,102,102,7.8,7.1,0.279,1
72.100000,363,1,322,113,100,100,8.8,7.4,0.326,0
72.133333,364,1,322,114,101,101,9.6,7.5,0.340,0
72.166667,365,1,323,113,101,101,10.4,8.3,0.362,0
72.200000,366,1,322,114,101,101,10.1,8.6,0.400,0
72.233333,367,1,321,111,105,105,10.3,8.8,0.358,0
72.266667,368,1,320,112,106,106,9.7,9.2,0.344,0
72.300000,369,1,320,112,105,105,9.1,9.4,0.326,0
72.333333,370,1,320,113,104,104,8.5,9.1,0.287,1
72.366667,371,1,321,112,104,104,8.1,8.8,0.274,1
72.400000,372,1,322,112,101,101,7.6,8.3,0.278,1
72.433333,373,1,324,113,99,99,7.4,7.3,0.272,1
72.466667,374,1,322,112,100,100,6.5,7.5,0.270,1
72.500000,375,1,324,112,100,100,5.9,7.2,0.197,1
72.533333,376,1,323,111,100,100,5.1,7.5,0.185,1
72.566667,377,1,322,109,101,101,4.3,6.6,0.140,1
72.600000,378,1,319,107,103,103,3.2,6.5,0.160,1
72.633333,379,1,317,104,106,106,2.4,6.2,0.152,1
72.666667,380,1,318,103,106,106,0.7,5.6,0.123,1
72.700000,381,1,315,103,107,107,-0.5,5.2,0.164,1
72.733333,382,1,315,101,109,109,-1.7,4.5,0.173,1
72.766667,383,1,312,98,110,110,-2.9,4.1,0.274,1
72.800000,384,1,308,97,112,112,-4.0,4.1,0.274,1
72.833333,385,1,306,97,113,113,-5.1,3.7,0.259,1
72.866667,386,1,306,97,112,112,-5.8,3.0,0.278,1
72.900000,387,1,306,97,111,111,-6.1,2.6,0.309,0
72.933333,388,1,305,98,111,111,-6.3,2.2,0.307,0
72.966667,389,1,304,98,111,111,-6.4,2.1,0.337,0
73.000000,390,1,305,99,111,111,-6.7,1.9,0.338,0
73.033333,391,1,305,99,111,111,-6.4,2.0,0.322,0
73.066667,392,1,305,100,110,110,-6.7,2.0,0.365,0
73.100000,393,1,306,100,109,109,-6.5,1.8,0.321,0
73.133333,394,1,306,100,109,109,-6.5,2.0,0.280,1
73.166667,395,1,306,100,110,110,-6.5,2.2,0.369,0
73.200000,396,1,305,100,111,111,-6.2,2.6,0.362,0
73.233333,397,1,305,99,112,112,-5.7,2.9,0.370,0
73.266667,398,1,306,100,111,111,-5.2,3.0,0.333,0
73.300000,399,1,307,100,110,110,-4.7,3.0,0.282,1
73.333333,400,1,307,100,110,110,-3.8,3.4,0.326,0
73.366667,401,1,307,99,112,112,-2.9,3.7,0.334,0
73.400000,402,1,306,99,112,112,-2.7,3.5,0.371,0
73.433333,403,1,307,101,110,110,-2.6,3.9,0.362,0
73.466667,404,1,307,102,108,108,-2.2,4.1,0.339,0
73.500000,405,1,307,102,109,109,-1.8,4.5,0.336,0
73.533333,406,1,306,102,108,108,-1.9,4.2,0.324,0
73.566667,407,1,307,103,109,109,-1.6,4.4,0.346,0
73.600000,408,1,306,102,110,110,-1.5,4.3,0.278,1
73.633333,409,1,306,101,109,109,-1.3,4.1,0.270,1
73.666667,410,1,307,101,109,109,-1.0,4.1,0.328,0
73.700000,411,1,308,101,108,108,-0.5,4.6,0.290,1
